"";"comuna";"cut_comuna";"año";"variable";"cifra"
"79";"ANGOL";"9201";2022;"Participación del Fondo Común Municipal (FCM) en el ingreso municipal total (descontadas las transferencias)";68,3889886449325
"80";"ANGOL";"9201";2020;"Porcentaje de  la superficie cubierta por vegetación total";46,73
"81";"ANGOL";"9201";2018;"Porcentaje de aporte de energía eléctrica proveniente de paneles solares domiciliarios";0,0110911235718609
"82";"ANGOL";"9201";2021;"Porcentaje de cobertura de la red de ciclovía sobre la red vial";4,59
"83";"ANGOL";"9201";2018;"Porcentaje de inversión pública destinada a proyectos que tienen procesos de intervención de restauración de inmuebles patrimoniales sobre el total de inversión destinada a proyectos con RF";0
"84";"ANGOL";"9201";2019;"Porcentaje de la inversión nacional a escala comunal en la que participa el municipio como institución contratante";5,37
"85";"ANGOL";"9201";2019;"Porcentaje de la población en situación de pobreza multidimensional";21,27
"86";"ANGOL";"9201";2019;"Porcentaje de la población en situación de pobreza por ingresos";15,56
"87";"ANGOL";"9201";2020;"Porcentaje de la superficie cubierta por vegetación densa";3,17
"88";"ANGOL";"9201";2022;"Porcentaje de la superficie de campamentos respecto del área urbana";0,0572726629214206
"89";"ANGOL";"9201";2018;"Porcentaje de manzanas con veredas con buena calidad de pavimento";31,15
"90";"ANGOL";"9201";2022;"Porcentaje de participación en las elecciones municipales por comuna";34,2809258119948
"91";"ANGOL";"9201";2019;"Porcentaje de población atendida por el sistema de parques públicos";86,78
"92";"ANGOL";"9201";2019;"Porcentaje de población atendida por el sistema de plazas públicas";75,04
"93";"ANGOL";"9201";2018;"Porcentaje de población atendida por la red de ciclovías";76,03
"94";"ANGOL";"9201";2022;"Porcentaje de residuos municipales valorizados";1,02978686594852
"95";"ANGOL";"9201";2018;"Porcentaje de viviendas con situación de allegamiento externo";1,22
"96";"ANGOL";"9201";2018;"Porcentaje de viviendas en situación de hacinamiento";6,46
"97";"ANGOL";"9201";2018;"Porcentaje de viviendas particulares que requieren mejoras de materialidad y/o servicios básicos";20,24
"98";"ANGOL";"9201";2022;"Porcentaje de votantes de nacionalidad extranjera en las elecciones municipales";0,136147038801906
"99";"ANGOL";"9201";2019;"Promedio de intersecciones relevantes cada 1,44 km²";4,24
"100";"ANGOL";"9201";2020;"Razón entre disponibilidad efectiva de matrículas y demanda potencial por educación básica";1,39
"101";"ANGOL";"9201";2018;"Requerimiento de viviendas nuevas urbanas";819
"102";"ANGOL";"9201";2018;"Superficie de parques públicos por habitante que cumple estándar de distancia (3.000 metros)";2,24
"103";"ANGOL";"9201";2018;"Superficie de plazas públicas por habitante que cumple estándar de distancia (400 metros)";5,48
"104";"ANGOL";"9201";2018;"Superficie de áreas verdes públicas por habitante";6,04
"105";"ANGOL";"9201";2021;"Tasa de conexiones residenciales fijas de internet por cada 1.000 viviendas particulares";622,907441408359
"106";"ANGOL";"9201";2021;"Tasa de conexiones residenciales fijas de internet por cada 100 habitantes";20,4924585620636
"107";"ANGOL";"9201";2022;"Tasa de víctimas de delitos contra la propiedad por casos policiales cada 10.000 habitantes";125,36298604717
"108";"ANGOL";"9201";2022;"Tasa de víctimas de delitos violencia intrafamiliar por casos policiales cada 10.000 habitantes";89,7726467880161
"109";"ANGOL";"9201";2022;"Tasa de víctimas de delitos violentos por casos policiales cada 10.000 habitantes";74,1908067143565
"110";"ANTOFAGASTA";"2101";2018;"Cantidad de jornadas diarias completas de trabajo de médicos, en salud primaria, por cada 10.000 habitantes";6,44
"111";"ANTOFAGASTA";"2101";2019;"Cantidad de luminarias cada 50 metros lineales de red vial";0,49
"112";"ANTOFAGASTA";"2101";2022;"Cantidad de residuos eliminados con disposición final per cápita";2,09064553085254
"113";"ANTOFAGASTA";"2101";2021;"Consumo de energía eléctrica per cápita no residencial";428,26814337625
"114";"ANTOFAGASTA";"2101";2021;"Consumo de energía eléctrica per cápita residencial";693,286858560519
"115";"ANTOFAGASTA";"2101";2022;"Densidad de hogares en campamentos";70,0117096018735
"116";"ANTOFAGASTA";"2101";2018;"Densidad de oferta planificada de transporte público mayor en periodo punta mañana, por persona";6,44
"117";"ANTOFAGASTA";"2101";2018;"Densidad de oferta planificada de transporte público menor en periodo punta mañana, por persona";5,56
"118";"ANTOFAGASTA";"2101";2018;"Diferencia entre el valor de suelo más alto y el más bajo entre las áreas homogéneas urbanas definidas por el Servicio de Impuestos Internos";0
"119";"ANTOFAGASTA";"2101";2020;"Distancia a centros de salud primaria";1249,44
"120";"ANTOFAGASTA";"2101";2020;"Distancia a establecimientos de educación básica";716,04
"121";"ANTOFAGASTA";"2101";2020;"Distancia a establecimientos de educación inicial";526,43
"122";"ANTOFAGASTA";"2101";2018;"Distancia a paraderos de transporte público mayor";327
"123";"ANTOFAGASTA";"2101";2019;"Distancia a parques públicos";1375,518439
"124";"ANTOFAGASTA";"2101";2019;"Distancia a plazas públicas";427,685044
"125";"ANTOFAGASTA";"2101";2018;"Distancia a una unidad o destacamento destinado al servicio operativo de Carabineros";1887
"126";"ANTOFAGASTA";"2101";2022;"Indisponibilidad de suministro eléctrico - indicador SAIDI anual";17,28062294
"127";"ANTOFAGASTA";"2101";2019;"Monto total per cápita, en pesos, de fondos entregados por el municipio a la comunidad vía proyectos concursables para el mejoramiento urbano";0
"128";"ANTOFAGASTA";"2101";2021;"Número de víctimas lesionadas en siniestros de tránsito por cada 100.000 habitantes";213,966872025676
"129";"ANTOFAGASTA";"2101";2021;"Número de víctimas mortales en siniestros de tránsito por cada 100.000 habitantes";7,83930350094072
"130";"ANTOFAGASTA";"2101";2022;"Participación del Fondo Común Municipal (FCM) en el ingreso municipal total (descontadas las transferencias)";16,2602582954878
"131";"ANTOFAGASTA";"2101";2019;"Partición modal del transporte público (número de viajes en transporte público respecto al número total de viajes)";34,1
"132";"ANTOFAGASTA";"2101";2019;"Partición modal del transporte sustentable (suma de viajes en transporte público, caminata y bicicleta respecto al número total de viajes)";63,3
"133";"ANTOFAGASTA";"2101";2020;"Población estimada de migrantes internacionales por comuna";61651
"134";"ANTOFAGASTA";"2101";2020;"Porcentaje de  la superficie cubierta por vegetación total";3,88
"135";"ANTOFAGASTA";"2101";2022;"Porcentaje de aporte de energía eléctrica proveniente de paneles solares domiciliarios";0,0682351705848816
"136";"ANTOFAGASTA";"2101";2021;"Porcentaje de cobertura de la red de ciclovía sobre la red vial";2,74
"137";"ANTOFAGASTA";"2101";2019;"Porcentaje de equipamiento crítico expuesto a inundación por tsunami";7,88
"138";"ANTOFAGASTA";"2101";2018;"Porcentaje de inversión pública destinada a proyectos que tienen procesos de intervención de restauración de inmuebles patrimoniales sobre el total de inversión destinada a proyectos con RF";3,35
"139";"ANTOFAGASTA";"2101";2019;"Porcentaje de la inversión nacional a escala comunal en la que participa el municipio como institución contratante";19,47
"140";"ANTOFAGASTA";"2101";2019;"Porcentaje de la población en situación de pobreza multidimensional";16,58
"141";"ANTOFAGASTA";"2101";2019;"Porcentaje de la población en situación de pobreza por ingresos";5,06
"142";"ANTOFAGASTA";"2101";2020;"Porcentaje de la superficie cubierta por vegetación densa";0,19
"143";"ANTOFAGASTA";"2101";2022;"Porcentaje de la superficie de campamentos respecto del área urbana";1,19105709089296
"144";"ANTOFAGASTA";"2101";2018;"Porcentaje de manzanas con veredas con buena calidad de pavimento";34,16
"145";"ANTOFAGASTA";"2101";2022;"Porcentaje de participación en las elecciones municipales por comuna";36,6718940581983
"146";"ANTOFAGASTA";"2101";2019;"Porcentaje de población atendida por el sistema de parques públicos";93,67
"147";"ANTOFAGASTA";"2101";2019;"Porcentaje de población atendida por el sistema de plazas públicas";54,05
"148";"ANTOFAGASTA";"2101";2018;"Porcentaje de población atendida por la red de ciclovías";46,4
"149";"ANTOFAGASTA";"2101";2018;"Porcentaje de población expuesta a inundación por tsunami";1,76
"150";"ANTOFAGASTA";"2101";2022;"Porcentaje de residuos municipales valorizados";0
"151";"ANTOFAGASTA";"2101";2018;"Porcentaje de unidades vecinales de la comuna que tienen entre 20% y 60% de hogares vulnerables";73,3333333333333
"152";"ANTOFAGASTA";"2101";2021;"Porcentaje de viajes originados  inferiores a 5 kilómetros";71,5266570869719
"153";"ANTOFAGASTA";"2101";2018;"Porcentaje de viviendas con situación de allegamiento externo";4,34
"154";"ANTOFAGASTA";"2101";2018;"Porcentaje de viviendas en situación de hacinamiento";7,73
"155";"ANTOFAGASTA";"2101";2018;"Porcentaje de viviendas particulares que requieren mejoras de materialidad y/o servicios básicos";11,47
"156";"ANTOFAGASTA";"2101";2022;"Porcentaje de votantes de nacionalidad extranjera en las elecciones municipales";3,19490639551459
"157";"ANTOFAGASTA";"2101";2019;"Porcentaje de zonas típicas con lineamientos de intervención aprobados";0
"158";"ANTOFAGASTA";"2101";2019;"Porcentaje de zonas típicas con lineamientos de intervención en desarrollo";0
"159";"ANTOFAGASTA";"2101";2019;"Promedio de intersecciones relevantes cada 1,44 km²";17,76
"160";"ANTOFAGASTA";"2101";2019;"Proporción de viajes con una duración mayor o igual a 45 minutos";8,83
"161";"ANTOFAGASTA";"2101";2019;"Proporción de viajes de estudio y trabajo con una duración mayor o igual a 45 minutos";12,17
"162";"ANTOFAGASTA";"2101";2019;"Proporción de viajes totales en transporte privado con una duración mayor o igual a 45 minutos";5,85
"163";"ANTOFAGASTA";"2101";2019;"Proporción de viajes totales en transporte público con una duración mayor o igual a 45 minutos";18,28
"164";"ANTOFAGASTA";"2101";2020;"Razón entre disponibilidad efectiva de matrículas y demanda potencial por educación básica";1,24
"165";"ANTOFAGASTA";"2101";2019;"Relación entre el tiempo de viaje en hora punta respecto del tiempo de viaje fuera de hora punta";1
"166";"ANTOFAGASTA";"2101";2018;"Requerimiento de viviendas nuevas urbanas";13240
"167";"ANTOFAGASTA";"2101";2018;"Superficie de parques públicos por habitante que cumple estándar de distancia (3.000 metros)";1,03
"168";"ANTOFAGASTA";"2101";2018;"Superficie de plazas públicas por habitante que cumple estándar de distancia (400 metros)";2,47
"169";"ANTOFAGASTA";"2101";2018;"Superficie de áreas verdes públicas por habitante";2,31
"170";"ANTOFAGASTA";"2101";2021;"Tasa de conexiones residenciales fijas de internet por cada 1.000 viviendas particulares";826,673138562737
"171";"ANTOFAGASTA";"2101";2021;"Tasa de conexiones residenciales fijas de internet por cada 100 habitantes";22,7754823477331
"172";"ANTOFAGASTA";"2101";2022;"Tasa de víctimas de delitos contra la propiedad por casos policiales cada 10.000 habitantes";144,125257203408
"173";"ANTOFAGASTA";"2101";2022;"Tasa de víctimas de delitos violencia intrafamiliar por casos policiales cada 10.000 habitantes";79,7244926156074
"174";"ANTOFAGASTA";"2101";2022;"Tasa de víctimas de delitos violentos por casos policiales cada 10.000 habitantes";100,300765272915
"175";"ANTOFAGASTA";"2101";2018;"Tiempo de viaje en hora punta mañana";40
"176";"ANTOFAGASTA";"2101";2018;"Tiempo de viaje en transporte público en hora punta mañana";55
"177";"ANTOFAGASTA";"2101";2018;"Índice de segregación de la población vulnerable";0,401673870581157
"178";"ARICA";"15101";2018;"Cantidad de jornadas diarias completas de trabajo de médicos, en salud primaria, por cada 10.000 habitantes";22,05
"179";"ARICA";"15101";2019;"Cantidad de luminarias cada 50 metros lineales de red vial";0,36
"180";"ARICA";"15101";2022;"Cantidad de residuos eliminados con disposición final per cápita";0,950830649754777
"181";"ARICA";"15101";2021;"Consumo de energía eléctrica per cápita no residencial";324,60992045296
"182";"ARICA";"15101";2021;"Consumo de energía eléctrica per cápita residencial";661,30707549991
"183";"ARICA";"15101";2022;"Densidad de hogares en campamentos";20,6886446886447
"184";"ARICA";"15101";2018;"Densidad de oferta planificada de transporte público mayor en periodo punta mañana, por persona";2,06
"185";"ARICA";"15101";2018;"Densidad de oferta planificada de transporte público menor en periodo punta mañana, por persona";5,2
"186";"ARICA";"15101";2018;"Diferencia entre el valor de suelo más alto y el más bajo entre las áreas homogéneas urbanas definidas por el Servicio de Impuestos Internos";0,4
"187";"ARICA";"15101";2020;"Distancia a centros de salud primaria";1165,22
"188";"ARICA";"15101";2020;"Distancia a establecimientos de educación básica";558
"189";"ARICA";"15101";2020;"Distancia a establecimientos de educación inicial";392,62
"190";"ARICA";"15101";2018;"Distancia a paraderos de transporte público mayor";241
"191";"ARICA";"15101";2019;"Distancia a parques públicos";1199,201278
"192";"ARICA";"15101";2019;"Distancia a plazas públicas";325,826472
"193";"ARICA";"15101";2018;"Distancia a una unidad o destacamento destinado al servicio operativo de Carabineros";1738
"194";"ARICA";"15101";2022;"Indisponibilidad de suministro eléctrico - indicador SAIDI anual";25,31109132
"195";"ARICA";"15101";2019;"Monto total per cápita, en pesos, de fondos entregados por el municipio a la comunidad vía proyectos concursables para el mejoramiento urbano";371,118716753948
"196";"ARICA";"15101";2019;"Número de microbasurales por cada 10.000 habitantes";0,49
"197";"ARICA";"15101";2021;"Número de víctimas lesionadas en siniestros de tránsito por cada 100.000 habitantes";330,1501226101
"198";"ARICA";"15101";2021;"Número de víctimas mortales en siniestros de tránsito por cada 100.000 habitantes";13,1581570605475
"199";"ARICA";"15101";2022;"Participación del Fondo Común Municipal (FCM) en el ingreso municipal total (descontadas las transferencias)";52,3923391206065
"200";"ARICA";"15101";2019;"Partición modal del transporte público (número de viajes en transporte público respecto al número total de viajes)";23,3
"201";"ARICA";"15101";2019;"Partición modal del transporte sustentable (suma de viajes en transporte público, caminata y bicicleta respecto al número total de viajes)";62,1
"202";"ARICA";"15101";2020;"Población estimada de migrantes internacionales por comuna";29107
"203";"ARICA";"15101";2020;"Porcentaje de  la superficie cubierta por vegetación total";7,04
"204";"ARICA";"15101";2022;"Porcentaje de aporte de energía eléctrica proveniente de paneles solares domiciliarios";0,161001860374653
"205";"ARICA";"15101";2021;"Porcentaje de cobertura de la red de ciclovía sobre la red vial";3,43
"206";"ARICA";"15101";2019;"Porcentaje de equipamiento crítico expuesto a inundación por tsunami";18,98
"207";"ARICA";"15101";2018;"Porcentaje de inversión pública destinada a proyectos que tienen procesos de intervención de restauración de inmuebles patrimoniales sobre el total de inversión destinada a proyectos con RF";0
"208";"ARICA";"15101";2019;"Porcentaje de la inversión nacional a escala comunal en la que participa el municipio como institución contratante";10,09
"209";"ARICA";"15101";2019;"Porcentaje de la población en situación de pobreza multidimensional";21,12
"210";"ARICA";"15101";2019;"Porcentaje de la población en situación de pobreza por ingresos";8,34
"211";"ARICA";"15101";2020;"Porcentaje de la superficie cubierta por vegetación densa";0,06
"212";"ARICA";"15101";2022;"Porcentaje de la superficie de campamentos respecto del área urbana";0,353876668988867
"213";"ARICA";"15101";2018;"Porcentaje de manzanas con veredas con buena calidad de pavimento";19,68
"214";"ARICA";"15101";2022;"Porcentaje de participación en las elecciones municipales por comuna";36,4456292346995
"215";"ARICA";"15101";2019;"Porcentaje de población atendida por el sistema de parques públicos";96,3
"216";"ARICA";"15101";2019;"Porcentaje de población atendida por el sistema de plazas públicas";75,37
"217";"ARICA";"15101";2018;"Porcentaje de población atendida por la red de ciclovías";66,08
"218";"ARICA";"15101";2018;"Porcentaje de población expuesta a inundación por tsunami";23,67
"219";"ARICA";"15101";2022;"Porcentaje de residuos municipales valorizados";0
"220";"ARICA";"15101";2018;"Porcentaje de unidades vecinales de la comuna que tienen entre 20% y 60% de hogares vulnerables";19,2307692307692
"221";"ARICA";"15101";2021;"Porcentaje de viajes originados  inferiores a 5 kilómetros";84,0336857991977
"222";"ARICA";"15101";2018;"Porcentaje de viviendas con situación de allegamiento externo";4,12
"223";"ARICA";"15101";2018;"Porcentaje de viviendas en situación de hacinamiento";8,15
"224";"ARICA";"15101";2018;"Porcentaje de viviendas particulares que requieren mejoras de materialidad y/o servicios básicos";17,24
"225";"ARICA";"15101";2022;"Porcentaje de votantes de nacionalidad extranjera en las elecciones municipales";3,44538583445081
"226";"ARICA";"15101";2019;"Porcentaje de zonas típicas con lineamientos de intervención aprobados";0
"227";"ARICA";"15101";2019;"Porcentaje de zonas típicas con lineamientos de intervención en desarrollo";0
"228";"ARICA";"15101";2019;"Promedio de intersecciones relevantes cada 1,44 km²";26,98
"229";"ARICA";"15101";2019;"Proporción de viajes con una duración mayor o igual a 45 minutos";4,73
"230";"ARICA";"15101";2019;"Proporción de viajes de estudio y trabajo con una duración mayor o igual a 45 minutos";7,05
"231";"ARICA";"15101";2019;"Proporción de viajes totales en transporte privado con una duración mayor o igual a 45 minutos";4,05
"232";"ARICA";"15101";2019;"Proporción de viajes totales en transporte público con una duración mayor o igual a 45 minutos";9,62
"233";"ARICA";"15101";2020;"Razón entre disponibilidad efectiva de matrículas y demanda potencial por educación básica";1,31
"234";"ARICA";"15101";2019;"Relación entre el tiempo de viaje en hora punta respecto del tiempo de viaje fuera de hora punta";1
"235";"ARICA";"15101";2018;"Requerimiento de viviendas nuevas urbanas";6561
"236";"ARICA";"15101";2018;"Superficie de parques públicos por habitante que cumple estándar de distancia (3.000 metros)";1,41
"237";"ARICA";"15101";2018;"Superficie de plazas públicas por habitante que cumple estándar de distancia (400 metros)";3,15
"238";"ARICA";"15101";2018;"Superficie de áreas verdes públicas por habitante";3,75
"239";"ARICA";"15101";2021;"Tasa de conexiones residenciales fijas de internet por cada 1.000 viviendas particulares";732,717708273772
"240";"ARICA";"15101";2021;"Tasa de conexiones residenciales fijas de internet por cada 100 habitantes";20,4382065033194
"241";"ARICA";"15101";2022;"Tasa de víctimas de delitos contra la propiedad por casos policiales cada 10.000 habitantes";169,6
"242";"ARICA";"15101";2022;"Tasa de víctimas de delitos violencia intrafamiliar por casos policiales cada 10.000 habitantes";116,81975308642
"243";"ARICA";"15101";2022;"Tasa de víctimas de delitos violentos por casos policiales cada 10.000 habitantes";122,785185185185
"244";"ARICA";"15101";2018;"Tiempo de viaje en hora punta mañana";30
"245";"ARICA";"15101";2018;"Tiempo de viaje en transporte público en hora punta mañana";40
"246";"ARICA";"15101";2018;"Índice de segregación de la población vulnerable";0,482709599775716
"247";"BUIN";"13402";2018;"Cantidad de jornadas diarias completas de trabajo de médicos, en salud primaria, por cada 10.000 habitantes";16,05
"248";"BUIN";"13402";2022;"Cantidad de residuos eliminados con disposición final per cápita";1,21048903633859
"249";"BUIN";"13402";2021;"Consumo de energía eléctrica per cápita no residencial";534,011372773241
"250";"BUIN";"13402";2021;"Consumo de energía eléctrica per cápita residencial";839,524818196437
"251";"BUIN";"13402";2022;"Densidad de hogares en campamentos";35,666347075743
"252";"BUIN";"13402";2018;"Densidad de oferta planificada de transporte público menor en periodo punta mañana, por persona";0,04
"253";"BUIN";"13402";2018;"Diferencia entre el valor de suelo más alto y el más bajo entre las áreas homogéneas urbanas definidas por el Servicio de Impuestos Internos";0,01
"254";"BUIN";"13402";2020;"Distancia a centros de salud primaria";1463,04
"255";"BUIN";"13402";2020;"Distancia a establecimientos de educación básica";857,21
"256";"BUIN";"13402";2020;"Distancia a establecimientos de educación inicial";814,84
"257";"BUIN";"13402";2019;"Distancia a parques públicos";1585,043068
"258";"BUIN";"13402";2019;"Distancia a plazas públicas";304,94216
"259";"BUIN";"13402";2018;"Distancia a una unidad o destacamento destinado al servicio operativo de Carabineros";1330
